City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,antofagasta,-23.65,-70.4,15.6,62,33,4.32,CL,1727793209
203,dryden,49.7833,-92.7503,9.66,50,7,5.34,CA,1727793210
204,college,64.8569,-147.8028,0.05,81,20,2.57,US,1727793212
205,vilyuchinsk,52.9306,158.4028,13.15,90,100,2.0,RU,1727793213
206,oshakati,-17.7833,15.6833,34.01,10,32,1.45,NA,1727793216
207,remire-montjoly,4.9167,-52.2667,32.02,62,0,1.54,GF,1727793217
208,popondetta,-8.7537,148.2534,22.85,97,42,1.14,PG,1727793219
209,dongola,19.1667,30.4833,39.24,11,0,6.58,SD,1727793220
210,tenenkou,14.4572,-4.9169,35.83,35,37,2.46,ML,1727793221
211,illapel,-31.6308,-71.1653,19.43,48,0,2.38,CL,1727793222
212,kolonia,50.9333,6.95,16.99,71,20,4.63,DE,1727793224
213,newman,37.3138,-121.0208,16.13,25,0,0.82,US,1727793225
214,taroa,8.7058,171.2275,28.42,74,74,5.89,MH,1727793226
215,malango,-2.9627,119.9001,19.25,84,82,0.84,ID,1727793227
216,port blair,11.6667,92.75,27.9,81,100,3.52,IN,1727793123
217,fiambala,-27.6871,-67.6149,27.45,9,7,3.45,AR,1727793230
218,ati,13.2154,18.3353,38.17,21,96,4.91,TD,1727793231
219,ashta,23.0167,76.7167,25.8,77,0,1.5,IN,1727793232
220,kerikeri,-35.2268,173.9474,15.51,87,100,3.13,NZ,1727793233
221,kruisfontein,-34.0033,24.7314,17.16,55,27,6.0,ZA,1727793235
222,kupang,-10.1667,123.5833,28.32,74,61,4.63,ID,1727793237
223,scottburgh,-30.2867,30.7532,17.95,57,0,9.07,ZA,1727793238
224,prince rupert,54.3161,-130.3201,10.83,87,99,7.72,CA,1727793239
225,bizerte,37.2744,9.8739,31.0,42,0,5.66,TN,1727793241
226,xinyuan,37.3,99.0,0.4,17,0,2.33,CN,1727793242
227,sept-iles,50.2001,-66.3821,14.29,62,20,4.12,CA,1727793243
228,kone,-21.0595,164.8658,19.83,93,7,1.64,NC,1727793245
229,plettenberg bay,-34.0527,23.3716,14.18,59,60,2.16,ZA,1727793250
230,rudsar,37.1376,50.288,23.99,74,1,3.35,IR,1727793041
231,carbonear,47.7332,-53.2148,12.46,96,100,9.45,CA,1727793252
232,tosontsengel,48.7567,98.2839,1.52,78,25,2.63,MN,1727793254
233,severo-yeniseyskiy,60.3725,93.0408,1.08,92,39,2.57,RU,1727793255
234,laguna de perlas,12.3429,-83.6712,27.05,89,100,1.28,NI,1727793256
235,copala,16.65,-98.9833,25.9,86,82,2.37,MX,1727793257
236,basco,20.4487,121.9702,28.53,69,100,14.36,PH,1727793259
237,sendai,38.2689,140.8719,20.71,83,7,2.84,JP,1727792756
238,san juan,-31.5375,-68.5364,18.21,27,0,7.18,AR,1727793261
239,hinesville,31.8469,-81.5959,26.58,88,75,0.0,US,1727793262
240,gap,44.6667,6.0,14.35,65,95,1.12,FR,1727793264
241,wajir,1.7471,40.0573,34.98,34,20,4.63,KE,1727793265
242,katabu,-4.9333,122.5167,24.7,87,100,2.05,ID,1727793266
243,lahad datu,5.0268,118.327,24.96,92,79,1.72,MY,1727793267
244,letlhakane,-21.4167,25.5833,29.24,3,0,4.76,BW,1727793269
245,kolonia town,6.964,158.206,28.72,76,100,4.62,FM,1727793270
246,burang,30.25,81.1667,9.85,76,21,2.18,CN,1727793271
247,san matias,-16.3667,-58.4,40.68,20,11,5.42,BO,1727793272
248,papao,-17.75,-149.55,23.82,72,100,1.57,PF,1727793274
249,keelung,25.1283,121.7419,27.81,70,100,5.13,TW,1727793035
250,poronaysk,49.2167,143.1167,8.08,94,100,2.37,RU,1727793276
251,lagunillas,10.1301,-71.2595,29.9,67,86,2.15,VE,1727793277
252,avarua,-21.2078,-159.775,20.03,68,40,1.54,CK,1727793279
253,baukau,51.5526,7.2042,15.36,93,100,3.56,DE,1727793280
254,enewetak,11.3474,162.3373,28.84,77,83,8.08,MH,1727793281
255,tahe,52.3333,124.7333,1.07,75,100,1.42,CN,1727793282
256,el calafate,-50.3408,-72.2768,4.08,70,48,2.26,AR,1727793284
257,alappakkam,11.6,79.7333,28.67,79,6,6.38,IN,1727793285
258,walvis bay,-22.9575,14.5053,24.53,33,0,5.66,NA,1727793286
259,mogocha,53.7333,119.7667,1.49,73,40,1.45,RU,1727793287
260,bardsir,29.9227,56.5743,20.78,18,6,3.2,IR,1727793289
261,bam,29.106,58.357,29.16,20,16,2.94,IR,1727793290
262,kalmunai,7.4167,81.8167,28.17,77,23,6.99,LK,1727793291
263,kostomuksha,64.571,30.5767,7.45,71,98,5.6,RU,1727793292
264,ribeira brava,32.65,-17.0667,28.17,73,8,0.37,PT,1727793294
265,zaragoza,41.6561,-0.8773,27.47,37,0,1.03,ES,1727793295
266,kayangel,8.0823,134.7173,28.3,74,90,2.56,PW,1727793296
267,port alfred,-33.5906,26.891,15.1,78,56,1.79,ZA,1727793297
268,peniche,39.3558,-9.3811,23.45,85,14,3.62,PT,1727793299
269,dakhla,23.6848,-15.958,21.04,82,65,8.31,EH,1727793300
270,waingapu,-9.6567,120.2641,25.97,73,86,2.79,ID,1727793301
271,new river,33.9159,-112.136,30.9,38,1,4.38,US,1727793303
272,campechuela,20.2342,-77.2789,30.08,66,4,0.52,CU,1727793304
273,aasiaat,68.7098,-52.8699,2.3,86,36,0.48,GL,1727793306
274,pompeu,-19.2244,-44.9353,32.69,21,0,1.65,BR,1727793307
275,fallon,39.4735,-118.7774,6.93,49,40,0.0,US,1727793308
276,stornoway,58.2093,-6.3865,14.49,80,20,5.14,GB,1727793309
277,santanyi,39.3546,3.1291,25.45,58,7,3.67,ES,1727793108
278,corner brook,48.9667,-57.9484,12.09,86,100,3.36,CA,1727793312
279,pont rouge,48.8833,-72.0825,13.16,55,1,4.27,CA,1727793313
280,oamaru,-45.0784,170.9801,9.1,90,100,2.28,NZ,1727793112
281,lahan,26.7296,86.4951,27.11,82,4,1.44,NP,1727793316
282,fort bragg,35.139,-79.006,23.23,95,100,2.57,US,1727793317
283,huarmey,-10.0681,-78.1522,19.9,79,43,3.95,PE,1727793318
284,kerema,-7.9631,145.7785,25.54,91,96,1.74,PG,1727793319
285,san rafael del sur,11.8485,-86.4384,25.54,85,100,1.36,NI,1727793321
286,road town,18.4167,-64.6167,31.05,74,40,4.12,VG,1727793322
287,olyokminsk,60.3736,120.4264,3.65,97,100,3.84,RU,1727793323
288,las tablas,7.7667,-80.2833,24.3,91,100,2.11,PA,1727793324
289,tofol,5.3248,163.0078,28.39,73,65,4.03,FM,1727793325
290,ust-tsilma,65.441,52.1498,5.94,68,16,4.79,RU,1727793327
291,toliara,-23.35,43.6667,25.73,80,1,4.09,MG,1727793328
292,mendi,-6.1761,143.6513,12.66,98,93,1.22,PG,1727793329
293,san antonio de pale,-1.4014,5.6325,24.89,79,100,5.37,GQ,1727793330
294,hithadhoo,-0.6,73.0833,28.86,75,10,5.88,MV,1727793332
295,geraldton,-28.7667,114.6,17.23,63,40,5.14,AU,1727793333
296,south venice,27.0531,-82.4243,29.47,87,100,2.05,US,1727793334
297,cill airne,52.05,-9.5167,15.03,72,75,1.54,IE,1727793335
298,bayanhongor,46.7167,100.1167,-1.41,68,4,2.11,MN,1727793336
299,krasnyy chikoy,50.3643,108.7512,0.02,77,15,1.4,RU,1727793338
300,colares,38.7992,-9.4469,25.81,70,40,4.63,PT,1727793339
301,east london,-33.0153,27.9116,16.52,67,0,11.32,ZA,1727793312
302,kodinsk,58.6881,99.1844,6.97,93,100,4.38,RU,1727793341
303,kanniyakumari,8.0833,77.5667,28.25,84,38,3.3,IN,1727793334
304,morena,26.4969,78.0,30.54,49,0,1.87,IN,1727793344
305,ukiah,39.1502,-123.2078,19.92,20,0,1.55,US,1727793345
306,lae,-6.7221,146.9847,24.86,82,44,1.13,PG,1727793346
307,kingston,17.997,-76.7936,27.53,78,75,2.06,JM,1727793347
308,selibaby,15.159,-12.1829,34.71,42,100,3.36,MR,1727793349
309,harstad,68.799,16.5293,4.66,68,100,8.48,NO,1727793350
310,tinajo,29.0788,-13.7081,26.49,57,20,8.75,ES,1727793351
311,sparta,43.9441,-90.8129,13.62,59,0,0.0,US,1727793352
312,ghanzi,-21.5667,21.7833,26.14,4,0,4.69,BW,1727793355
313,jepelacio,-6.1167,-76.95,27.79,47,23,1.31,PE,1727793356
314,idri,27.5,13.2667,31.93,23,0,3.11,LY,1727793357
315,afaahiti,-17.75,-149.2833,22.93,80,92,2.75,PF,1727793358
316,nakatunguru,-2.1167,33.0667,26.02,68,39,4.77,TZ,1727793360
317,george town,5.4112,100.3354,28.96,86,20,1.54,MY,1727792880
318,norton shores,43.1689,-86.2639,18.01,71,100,7.2,US,1727793362
319,gebeit,21.0667,36.3167,32.72,33,57,8.33,SD,1727793364
320,tongchuanshi,35.0806,109.0897,11.69,42,0,1.09,CN,1727793365
321,bandarbeyla,9.4942,50.8122,25.17,88,6,8.02,SO,1727793366
322,bel ombre,-4.6167,55.4167,27.91,74,40,5.14,SC,1727793367
323,ilebo,-4.3167,20.5833,32.51,43,68,2.69,CD,1727793369
324,kuraymah,18.55,31.85,40.4,10,0,5.37,SD,1727793370
325,gaya,24.7833,85.0,27.74,77,36,2.19,IN,1727793371
326,san pedro pochutla,15.7333,-96.4667,24.84,95,95,1.42,MX,1727793373
327,micheweni,-4.9667,39.8333,25.86,78,77,4.06,TZ,1727793374
328,vallo della lucania,40.2297,15.2658,20.69,53,3,2.21,IT,1727793375
329,alesund,62.4723,6.1549,15.51,55,20,1.03,NO,1727793377
330,inirida,3.8653,-67.9239,33.42,50,98,0.41,CO,1727793378
331,gamba,-2.65,10.0,24.74,81,100,4.56,GA,1727793379
332,marka,1.7159,44.7717,25.89,79,39,4.65,SO,1727793380
333,lorengau,-2.0226,147.2712,27.94,81,100,4.56,PG,1727793381
334,san patricio,28.017,-97.5169,27.92,55,0,3.05,US,1727793383
335,byron bay,-28.65,153.6167,13.73,75,24,4.37,AU,1727793384
336,amga,60.8953,131.9608,0.88,99,100,0.86,RU,1727793385
337,fortuna,40.5982,-124.1573,13.51,71,0,4.63,US,1727793386
338,padangsidempuan,1.3667,99.2667,22.69,98,100,0.37,ID,1727793388
339,nova sintra,14.8667,-24.7167,24.45,80,11,4.01,CV,1727793389
340,zliten,32.4674,14.5687,25.08,52,0,4.02,LY,1727793391
341,morant bay,17.8815,-76.4093,27.79,71,100,3.19,JM,1727793110
342,reinosa,42.9996,-4.138,18.76,72,67,3.06,ES,1727793394
343,buala,-8.145,159.5921,26.76,83,63,2.26,SB,1727793395
344,buka,40.8108,69.1986,20.97,26,99,2.33,UZ,1727793396
345,prado,-17.3411,-39.2208,26.13,67,26,4.74,BR,1727793398
346,mo i rana,66.3128,14.1428,7.4,78,75,1.54,NO,1727793399
347,mariental,-24.6333,17.9667,24.51,5,0,4.25,NA,1727793400
348,seka,17.9285,103.9552,24.47,94,86,2.75,TH,1727793401
349,terenos,-20.4422,-54.8603,34.84,36,35,5.66,BR,1727793403
350,katsuren-haebaru,26.3369,127.8719,29.43,91,20,3.6,JP,1727793231
351,vernon,50.2581,-119.2691,9.69,87,100,4.02,CA,1727793405
352,tual,-5.6667,132.75,27.32,72,95,7.34,ID,1727793406
353,aktau,43.65,51.2,22.32,45,0,1.77,KZ,1727793408
354,rahimatpur,17.6,74.2,26.82,74,98,0.57,IN,1727793409
355,bethanie,-26.4833,17.15,23.96,7,0,5.97,NA,1727793410
356,coquimbo,-29.9533,-71.3436,17.85,59,0,3.6,CL,1727793411
357,phan rang-thap cham,11.5667,108.9833,25.83,92,100,1.95,VN,1727793322
358,margate,51.3813,1.3862,14.37,83,100,8.23,GB,1727793414
359,okulovka,58.4008,33.2908,9.01,63,100,4.21,RU,1727793415
360,karangampel,-6.4622,108.4519,28.51,72,94,1.46,ID,1727793416
361,sorong,-0.8833,131.25,25.58,90,100,1.82,ID,1727793417
362,sungjibaegam,41.2428,128.7989,-0.81,93,100,3.59,KP,1727793418
363,hobyo,5.3505,48.5268,25.23,84,48,6.56,SO,1727793420
364,hotan,37.0997,79.9269,16.63,26,41,2.5,CN,1727793421
